,PERSON_ID,DISPLAY_FIRST_LAST,SCHOOL,BIRTHDATE,SEASON_EXP,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,204079,Drew Gordon,New Mexico,1990-07-12T00:00:00,1,Undrafted,Undrafted,Undrafted
0,201569,Eric Gordon,Indiana,1988-12-25T00:00:00,14,2008,1,7
0,101162,Marcin Gortat,RheinEnergie Cologne,1984-02-17T00:00:00,12,2005,2,57
0,202726,Andrew Goudelock,College of Charleston,1988-12-07T00:00:00,4,2011,2,46
0,101121,Joey Graham,Oklahoma State,1982-06-11T00:00:00,7,2005,1,16
0,1626203,Treveon Graham,Virginia Commonwealth,1993-10-28T00:00:00,5,Undrafted,Undrafted,Undrafted
0,101122,Danny Granger,New Mexico,1983-04-20T00:00:00,11,2005,1,17
0,203924,Jerami Grant,Syracuse,1994-03-12T00:00:00,8,2014,2,39
0,1626170,Jerian Grant,Notre Dame,1992-10-09T00:00:00,6,2015,1,19
0,201189,Aaron Gray,Pittsburgh,1984-12-07T00:00:00,7,2007,2,49
0,201980,Danny Green,North Carolina,1987-06-22T00:00:00,13,2009,2,46
0,203110,Draymond Green,Michigan State,1990-03-04T00:00:00,10,2012,2,35
0,203475,Erick Green,Virginia Tech,1991-05-09T00:00:00,2,2013,2,46
0,101123,Gerald Green,No College,1986-01-26T00:00:00,13,2005,1,18
0,203210,JaMychal Green,Alabama,1990-06-21T00:00:00,8,Undrafted,Undrafted,Undrafted
0,1630224,Jalen Green,NBA G League Ignite,2002-02-09T00:00:00,1,2021,1,2
0,201145,Jeff Green,Georgetown,1986-08-28T00:00:00,14,2007,1,5
0,1630182,Josh Green,Arizona,2000-11-16T00:00:00,2,2020,1,18
0,201192,Taurean Green,Florida,1986-11-28T00:00:00,1,2007,2,52
0,2584,Willie Green,Detroit,1981-07-28T00:00:00,12,2003,2,41
0,201590,Donte Greene,Syracuse,1988-02-21T00:00:00,6,2008,1,28
0,2696,Lynn Greer,Temple,1979-10-23T00:00:00,2,Undrafted,Undrafted,Undrafted
0,201933,Blake Griffin,Oklahoma,1989-03-16T00:00:00,12,2009,1,1
0,2204,Eddie Griffin,Seton Hall,1982-05-30T00:00:00,5,2001,1,7
0,1629656,Quentin Grimes,Houston,2000-05-08T00:00:00,1,2021,1,25
0,101219,Anthony Grundy,North Carolina State,1979-04-15T00:00:00,1,Undrafted,Undrafted,Undrafted
0,1629657,Kyle Guy,Virginia,1997-08-11T00:00:00,3,2019,2,55
0,2062,A.J. Guyton,Indiana,1978-02-12T00:00:00,4,2000,2,32
0,1630204,Ashton Hagans,Kentucky,1999-07-08T00:00:00,2,Undrafted,Undrafted,Undrafted
0,201612,Malik Hairston,Oregon,1987-02-23T00:00:00,3,2008,2,48
0,2409,Marcus Haislip,Tennessee,1980-12-22T00:00:00,4,2002,1,13
0,1628985,Devon Hall,Virginia,1995-07-07T00:00:00,2,2018,2,53
0,1627772,Daniel Hamilton,UCONN,1995-08-08T00:00:00,3,2016,2,56
0,202706,Jordan Hamilton,Texas-Austin,1990-10-06T00:00:00,6,2011,1,26
0,203120,Justin Hamilton,Louisiana State,1990-04-01T00:00:00,4,2012,2,45
0,201946,Tyler Hansbrough,North Carolina,1985-11-03T00:00:00,8,2009,1,13
0,2580,Travis Hansen,Brigham Young,1978-04-15T00:00:00,2,2003,2,37
0,202376,Luke Harangody,Notre Dame,1988-01-02T00:00:00,3,2010,2,52
0,203501,Tim Hardaway Jr.,Michigan,1992-03-16T00:00:00,9,2013,1,24
0,201935,James Harden,Arizona State,1989-08-26T00:00:00,13,2009,1,3
0,203090,Maurice Harkless,St. John's,1993-05-11T00:00:00,10,2012,1,15
0,1629607,Jared Harper,Auburn,1997-09-14T00:00:00,3,Undrafted,Undrafted,Undrafted
0,202712,Justin Harper,Richmond,1989-08-30T00:00:00,3,2011,2,32
0,1626149,Montrezl Harrell,Louisville,1994-01-26T00:00:00,7,2015,2,32
0,2734,Devin Harris,Wisconsin,1983-02-27T00:00:00,16,2004,1,5
0,203914,Gary Harris,Michigan State,1994-09-14T00:00:00,8,2014,1,19
0,1630223,Jalen Harris,Nevada,1998-08-14T00:00:00,1,2020,2,59
0,203925,Joe Harris,Virginia,1991-09-06T00:00:00,8,2014,2,33
0,202412,Manny Harris,Michigan,1989-09-21T00:00:00,5,Undrafted,Undrafted,Undrafted
0,202699,Tobias Harris,Tennessee,1992-07-15T00:00:00,11,2011,1,19
0,1626151,Aaron Harrison,Kentucky,1994-10-28T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1626150,Andrew Harrison,Kentucky,1994-10-28T00:00:00,4,2015,2,44
0,2078,Jason Hart,Syracuse,1978-04-29T00:00:00,10,2000,2,49
0,1628404,Josh Hart,Villanova,1995-03-06T00:00:00,5,2017,1,30
0,2051,Donnell Harvey,Florida,1980-08-26T00:00:00,6,2000,1,22
0,2617,Udonis Haslem,Florida,1980-06-09T00:00:00,19,Undrafted,Undrafted,Undrafted
0,2239,Trenton Hassell,Austin Peay,1979-03-04T00:00:00,10,2001,2,29
0,2213,Kirk Haston,Indiana,1979-03-10T00:00:00,3,2001,1,16
0,1630573,Sam Hauser,Virginia,1997-12-08T00:00:00,1,Undrafted,Undrafted,Undrafted
0,201150,Spencer Hawes,Washington,1988-04-28T00:00:00,11,2007,1,10
0,1629637,Jaxson Hayes,Texas-Austin,2000-05-23T00:00:00,3,2019,1,8
0,1628502,Nigel Hayes,Wisconsin,1994-12-16T00:00:00,1,Undrafted,Undrafted,Undrafted
0,202330,Gordon Hayward,Butler,1990-03-23T00:00:00,12,2010,1,9
0,202351,Lazar Hayward,Marquette,1986-11-26T00:00:00,4,2010,1,30
0,2217,Brendan Haywood,North Carolina,1979-11-27T00:00:00,13,2001,1,20
0,101129,Luther Head,Illinois,1982-11-26T00:00:00,6,2005,1,24
0,76993,Gerald Henderson,Virginia Commonwealth,1956-01-16T00:00:00,13,1978,3,64
0,201945,Gerald Henderson,Duke,1987-12-09T00:00:00,9,2009,1,12
0,1630565,Aaron Henry,Michigan State,1999-08-30T00:00:00,1,Undrafted,Undrafted,Undrafted
0,202333,Xavier Henry,Kansas,1991-03-15T00:00:00,6,2010,1,12
0,203089,John Henson,North Carolina,1990-12-28T00:00:00,9,2012,1,14
0,1629608,Dewan Hernandez,Miami (FL),1996-12-09T00:00:00,2,2019,2,59
0,1629639,Tyler Herro,Kentucky,2000-01-20T00:00:00,3,2019,1,13
0,1628987,Kevin Hervey,Texas-Arlington,1996-07-09T00:00:00,2,2018,2,57
0,1628439,Isaiah Hicks,North Carolina,1994-07-24T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1627741,Buddy Hield,Oklahoma,1992-12-17T00:00:00,6,2016,1,6
0,201588,George Hill,Indiana-Purdue Indianapolis,1986-05-04T00:00:00,14,2008,1,26
0,201195,Herbert Hill,Providence,1984-10-01T00:00:00,1,2007,2,55
0,201941,Jordan Hill,Arizona,1987-07-27T00:00:00,9,2009,1,8
0,203524,Solomon Hill,Arizona,1991-03-18T00:00:00,9,2013,1,23
0,2550,Kirk Hinrich,Kansas,1981-01-02T00:00:00,14,2003,1,7
0,202359,Darington Hobson,New Mexico,1987-09-29T00:00:00,1,2010,2,37
0,101125,Julius Hodge,North Carolina State,1983-11-18T00:00:00,3,2005,1,20
0,2450,Randy Holcomb,San Diego State,1979-08-08T00:00:00,1,2002,2,56
0,1628988,Aaron Holiday,UCLA,1996-09-30T00:00:00,4,2018,1,23
0,201950,Jrue Holiday,UCLA,1990-06-12T00:00:00,13,2009,1,17
0,1626178,Rondae Hollis-Jefferson,Arizona,1995-01-03T00:00:00,7,2015,1,23
0,1626158,Richaun Holmes,Bowling Green,1993-10-15T00:00:00,7,2015,2,37
0,202715,Tyler Honeycutt,UCLA,1990-07-15T00:00:00,2,2011,2,35
0,203918,Rodney Hood,Duke,1992-10-20T00:00:00,8,2014,1,23
0,203816,Scotty Hopson,Tennessee,1989-08-08T00:00:00,3,2011,0,0
0,201143,Al Horford,Florida,1986-06-03T00:00:00,15,2007,1,3
0,1629659,Talen Horton-Tucker,Iowa State,2000-11-25T00:00:00,3,2019,2,46
0,2067,Eddie House,Arizona State,1978-05-14T00:00:00,12,2000,2,37
0,2730,Dwight Howard,SW Atlanta Christian Academy (GA),1985-12-08T00:00:00,18,2004,1,1
0,2572,Josh Howard,Wake Forest,1980-04-28T00:00:00,10,2003,1,29
0,1630210,Markus Howard,Marquette,1999-03-03T00:00:00,2,Undrafted,Undrafted,Undrafted
0,201991,Lester Hudson,Tennessee-Martin,1984-08-07T00:00:00,5,2009,2,58
0,1628989,Kevin Huerter,Maryland,1998-08-27T00:00:00,4,2018,1,19
0,1630190,Elijah Hughes,Syracuse,1998-03-10T00:00:00,2,2020,2,39
0,203133,Robbie Hummel,Purdue,1989-03-08T00:00:00,3,2012,2,58
0,2415,Ryan Humphrey,Notre Dame,1979-07-24T00:00:00,4,2002,1,19
0,2743,Kris Humphries,Minnesota,1985-02-06T00:00:00,14,2004,1,14
0,2599,Brandon Hunter,Ohio,1980-11-24T00:00:00,3,2003,2,56
0,1629631,De'Andre Hunter,Virginia,1997-12-02T00:00:00,3,2019,1,4
0,201629,Othello Hunter,Ohio State,1986-05-28T00:00:00,2,Undrafted,Undrafted,Undrafted
0,2212,Steven Hunter,DePaul,1981-10-31T00:00:00,9,2001,1,15
0,1630538,Bones Hyland,Virginia Commonwealth,2000-09-14T00:00:00,1,2021,1,26
0,2738,Andre Iguodala,Arizona,1984-01-28T00:00:00,18,2004,1,9
0,101141,Ersan Ilyasova,                                   ,1987-05-15T00:00:00,14,2005,2,36
0,204060,Joe Ingles,Maccabi Tel Aviv,1987-10-02T00:00:00,8,Undrafted,Undrafted,Undrafted
0,202681,Kyrie Irving,Duke,1992-03-23T00:00:00,11,2011,1,1
0,101127,Jarrett Jack,Georgia Tech,1983-10-28T00:00:00,14,2005,1,22
0,201616,Darnell Jackson,Kansas,1985-11-07T00:00:00,4,2008,2,52
0,1627743,Demetrius Jackson,Notre Dame,1994-09-07T00:00:00,4,2016,2,45
0,1628402,Frank Jackson,Duke,1998-05-04T00:00:00,4,2017,2,31
0,1630543,Isaiah Jackson,Kentucky,2002-01-10T00:00:00,1,2021,1,22
0,1114,Jaren Jackson,Georgetown,1967-10-27T00:00:00,12,Undrafted,Undrafted,Undrafted
0,1628382,Justin Jackson,North Carolina,1995-03-28T00:00:00,5,2017,1,15
0,2739,Luke Jackson,Oregon,1981-11-06T00:00:00,5,2004,1,10
0,203510,Pierre Jackson,Baylor,1991-08-29T00:00:00,1,2013,2,42
0,203108,Bernard James,Florida State,1985-02-07T00:00:00,3,2012,2,33
0,202345,Damion James,Texas-Austin,1987-10-07T00:00:00,4,2010,1,24
0,2544,LeBron James,St. Vincent-St. Mary HS (OH),1984-12-30T00:00:00,19,2003,1,1
0,2060,Marko Jaric,Virtus Bologna,1978-12-10T00:00:00,8,2000,2,30
0,2744,Al Jefferson,Prentiss HS (MS),1985-01-04T00:00:00,14,2004,1,15
0,203928,Cory Jefferson,Baylor,1990-12-26T00:00:00,3,2014,2,60
0,2210,Richard Jefferson,Arizona,1980-06-21T00:00:00,18,2001,1,13
0,1629610,DaQuan Jeffries,Tulsa,1997-08-30T00:00:00,3,Undrafted,Undrafted,Undrafted
0,2407,Jared Jeffries,Indiana,1981-11-25T00:00:00,12,2002,1,11
0,202724,Charles Jenkins,Hofstra,1989-02-28T00:00:00,3,2011,2,44
0,2798,Horace Jenkins,William Paterson,1974-10-14T00:00:00,2,Undrafted,Undrafted,Undrafted
0,203098,John Jenkins,Vanderbilt,1991-03-06T00:00:00,7,2012,1,23
0,1629660,Ty Jerome,Virginia,1997-07-08T00:00:00,3,2019,1,24
0,203511,Grant Jerrett,Arizona,1993-07-08T00:00:00,2,2013,2,40
0,1630198,Isaiah Joe,Arkansas,1999-07-02T00:00:00,2,2020,2,49
0,2639,Britton Johnsen,Utah,1979-07-08T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1628993,Alize Johnson,Missouri State,1996-04-22T00:00:00,4,2018,2,50
0,202356,Armon Johnson,Nevada-Reno,1989-02-23T00:00:00,3,2010,2,34
0,1627744,Brice Johnson,North Carolina,1994-06-27T00:00:00,2,2016,1,25
0,1629661,Cameron Johnson,North Carolina,1996-03-03T00:00:00,3,2019,1,11
0,1626177,Dakari Johnson,Kentucky,1995-09-22T00:00:00,1,2015,2,48
0,77139,David Johnson,Huntington,1921-12-06T00:00:00,4,Undrafted,Undrafted,Undrafted
0,1630525,David Johnson,Louisville,2001-02-26T00:00:00,1,2021,2,47
0,202707,JaJuan Johnson,Purdue,1989-02-08T00:00:00,2,2011,1,27
0,1630552,Jalen Johnson,Duke,2001-12-18T00:00:00,1,2021,1,20
0,201949,James Johnson,Wake Forest,1987-02-20T00:00:00,13,2009,1,16
0,2207,Joe Johnson,Arkansas,1981-06-29T00:00:00,18,2001,1,10
0,1629640,Keldon Johnson,Kentucky,1999-10-11T00:00:00,3,2019,1,29
0,2256,Ken Johnson,Ohio State,1978-02-01T00:00:00,2,2001,2,48
0,77154,Ken Johnson,Michigan State,1962-11-07T00:00:00,1,1985,2,28
0,1630553,Keon Johnson,Tennessee,2002-03-10T00:00:00,1,2021,1,21
0,203910,Nick Johnson,Arizona,1992-12-22T00:00:00,2,2014,2,42
0,203111,Orlando Johnson,Cal-Santa Barbara,1989-03-11T00:00:00,4,2012,2,36
0,1626169,Stanley Johnson,Arizona,1996-05-29T00:00:00,7,2015,1,8
0,201234,Trey Johnson,Jackson State,1984-08-30T00:00:00,3,Undrafted,Undrafted,Undrafted
0,202325,Wesley Johnson,Syracuse,1987-07-11T00:00:00,10,2010,1,4
0,203130,Darius Johnson-Odom,Marquette,1989-09-28T00:00:00,3,2012,2,55
0,77193,Bobby Jones,North Carolina,1951-12-18T00:00:00,10,1974,1,5
0,200784,Bobby Jones,Washington,1984-01-09T00:00:00,3,2006,2,37
0,1630637,Carlik Jones,Texas Legends,1997-12-23T00:00:00,1,Undrafted,Undrafted,Undrafted
0,2563,Dahntay Jones,Duke,1980-12-27T00:00:00,14,2003,1,20
0,1627745,Damian Jones,Vanderbilt,1995-06-30T00:00:00,6,2016,1,30
0,202346,Dominique Jones,South Florida,1988-10-15T00:00:00,3,2010,1,25
0,101204,Dwayne Jones,St. Joseph's (PA),1983-06-09T00:00:00,7,Undrafted,Undrafted,Undrafted
0,2410,Fred Jones,Oregon,1979-03-11T00:00:00,8,2002,1,14
0,1630529,Herbert Jones,Alabama,1998-10-06T00:00:00,1,2021,2,35
0,2592,James Jones,Miami,1980-10-04T00:00:00,15,2003,2,49
0,1630539,Kai Jones,Texas-Austin,2001-01-19T00:00:00,1,2021,1,19
0,203158,Kevin Jones,West Virginia,1989-08-25T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1630222,Mason Jones,Arkansas,1998-07-21T00:00:00,2,Undrafted,Undrafted,Undrafted
0,200780,Solomon Jones,South Florida,1984-07-16T00:00:00,8,2006,2,33
0,203093,Terrence Jones,Kentucky,1992-01-09T00:00:00,6,2012,1,18
0,1626145,Tyus Jones,Duke,1996-05-10T00:00:00,7,2015,1,24
0,201599,DeAndre Jordan,Texas A&M,1988-07-21T00:00:00,14,2008,2,35
0,202366,Jerome Jordan,Tulsa,1986-09-29T00:00:00,3,2010,2,44
0,202709,Cory Joseph,Texas-Austin,1991-08-20T00:00:00,11,2011,1,29
0,203126,Kris Joseph,Syracuse,1988-12-17T00:00:00,2,2012,2,51
0,1629662,Mfiondu Kabengele,Florida State,1997-08-14T00:00:00,3,2019,1,27
0,2549,Chris Kaman,Central Michigan,1982-04-28T00:00:00,14,2003,1,6
0,1626163,Frank Kaminsky,Wisconsin,1993-04-04T00:00:00,7,2015,1,9
0,202683,Enes Freedom,                                   ,1992-05-20T00:00:00,11,2011,1,3
0,2574,Jason Kapono,UCLA,1981-02-02T00:00:00,9,2003,2,31
0,201207,Coby Karl,Boise State,1983-06-08T00:00:00,3,Undrafted,Undrafted,Undrafted
0,2435,Mario Kasun,Skyliners Frankfurt,1980-04-05T00:00:00,2,2002,2,40
0,201619,Sasha Kaun,Kansas,1985-05-08T00:00:00,2,2008,2,56
0,203527,Ryan Kelly,Duke,1991-04-09T00:00:00,5,2013,2,48
0,1628379,Luke Kennard,Duke,1996-06-24T00:00:00,5,2017,1,12
0,203077,Michael Kidd-Gilchrist,Kentucky,1993-09-26T00:00:00,9,2012,1,2
0,203930,Sean Kilpatrick,Cincinnati,1990-01-06T00:00:00,4,Undrafted,Undrafted,Undrafted
0,77264,Bernard King,Tennessee,1956-12-04T00:00:00,14,1977,1,7
0,77268,George King,University of Charleston,1928-08-16T00:00:00,6,1950,8,
0,1628994,George King,Colorado,1994-01-15T00:00:00,2,2018,2,59
0,1629663,Louis King,Oregon,1999-04-06T00:00:00,3,Undrafted,Undrafted,Undrafted
0,200814,Tarence Kinsey,South Carolina,1984-03-21T00:00:00,4,Undrafted,Undrafted,Undrafted
0,203945,Alex Kirk,New Mexico,1991-11-14T00:00:00,1,Undrafted,Undrafted,Undrafted
0,1630557,Corey Kispert,Gonzaga,1999-03-03T00:00:00,1,2021,1,15
0,2688,Brandin Knight,Pittsburgh,1981-12-16T00:00:00,1,Undrafted,Undrafted,Undrafted
0,202688,Brandon Knight,Kentucky,1991-12-02T00:00:00,9,2011,1,8
0,1630233,Nathan Knight,William & Mary,1997-09-20T00:00:00,2,Undrafted,Undrafted,Undrafted
0,2594,Kyle Korver,Creighton,1981-03-17T00:00:00,18,2003,2,51
0,1630228,Jonathan Kuminga,NBA G League Ignite,2002-10-06T00:00:00,1,2021,1,7
0,1628398,Kyle Kuzma,Utah,1995-07-24T00:00:00,5,2017,1,27
0,203897,Zach LaVine,UCLA,1995-03-10T00:00:00,8,2014,1,13
0,1627746,Skal Labissiere,Kentucky,1996-03-18T00:00:00,5,2016,1,28
0,203117,Doron Lamb,Kentucky,1991-11-06T00:00:00,2,2012,2,42
0,203087,Jeremy Lamb,Connecticut,1992-05-30T00:00:00,10,2012,1,12
0,2253,Sean Lampley,California,1979-09-03T00:00:00,2,2001,2,44
0,201171,Carl Landry,Purdue,1983-09-19T00:00:00,10,2007,2,31
0,2591,James Lang,Central Park Christian HS (AL),1983-10-17T00:00:00,1,2003,2,48
0,101247,Keith Langford,Kansas,1983-09-15T00:00:00,1,Undrafted,Undrafted,Undrafted
0,1629641,Romeo Langford,Indiana,1999-10-25T00:00:00,3,2019,1,14
0,2061,Dan Langhi,Vanderbilt,1977-11-28T00:00:00,4,2000,2,31
0,203499,Shane Larkin,Miami,1992-10-02T00:00:00,4,2013,1,18
0,201186,Stephane Lasme,Massachusetts,1982-12-17T00:00:00,2,2007,2,46
0,201151,Acie Law,Texas A&M,1985-01-25T00:00:00,5,2007,1,11
0,202371,Gani Lawal,Georgia Tech,1988-11-07T00:00:00,2,2010,2,46
0,1630639,A.J. Lawson,South Carolina,2000-07-15T00:00:00,0,Undrafted,Undrafted,Undrafted
0,201951,Ty Lawson,North Carolina,1987-11-03T00:00:00,10,2009,1,18
0,1627774,Jake Layman,Maryland,1994-03-07T00:00:00,6,2016,2,47
0,1627747,Caris LeVert,Michigan,1994-08-25T00:00:00,6,2016,1,20
0,1629665,Jalen Lecque,Brewster Academy (NH),2000-06-13T00:00:00,3,Undrafted,Undrafted,Undrafted
0,203495,Ricky Ledo,Providence,1992-09-10T00:00:00,2,2013,2,43
0,101135,David Lee,Florida,1983-04-29T00:00:00,13,2005,1,30
0,202723,Malcolm Lee,UCLA,1990-05-22T00:00:00,3,2011,2,43
0,203458,Alex Len,Maryland,1993-06-16T00:00:00,9,2013,1,5
0,202695,Kawhi Leonard,San Diego State,1991-06-29T00:00:00,10,2011,1,15
0,203086,Meyers Leonard,Illinois,1992-02-27T00:00:00,9,2012,1,11
0,202727,Travis Leslie,Georgia,1990-03-29T00:00:00,2,2011,2,47
0,202720,Jon Leuer,Wisconsin,1989-05-14T00:00:00,9,2011,2,40
0,1630575,Scottie Lewis,Florida,2000-03-12T00:00:00,1,2021,2,56
0,202732,DeAndre Liggins,Kentucky,1988-03-31T00:00:00,6,2011,2,53
0,203081,Damian Lillard,Weber State,1990-07-15T00:00:00,10,2012,1,6
0,1629642,Nassir Little,North Carolina,2000-02-11T00:00:00,3,2019,1,25
0,1630587,Isaiah Livers,Michigan,1998-07-28T00:00:00,1,2021,2,42
0,2733,Shaun Livingston,No College,1985-09-11T00:00:00,16,2004,1,4
0,1626172,Kevon Looney,UCLA,1996-02-06T00:00:00,7,2015,1,30
0,201572,Brook Lopez,Stanford,1988-04-01T00:00:00,14,2008,1,10
0,201567,Kevin Love,UCLA,1988-09-07T00:00:00,14,2008,1,5
0,101249,John Lucas III,Oklahoma State,1982-11-21T00:00:00,8,Undrafted,Undrafted,Undrafted
0,1628399,Tyler Lydon,Syracuse,1996-04-09T00:00:00,3,2017,1,24
0,1626168,Trey Lyles,Kentucky,1995-11-05T00:00:00,7,2015,1,12
0,203159,Scott Machado,Iona,1990-06-08T00:00:00,2,Undrafted,Undrafted,Undrafted
0,202714,Shelvin Mack,Butler,1990-04-22T00:00:00,9,2011,2,34
0,2432,Tito Maddox,Fresno State,1981-06-08T00:00:00,2,2002,2,37
0,2058,Mark Madsen,Stanford,1976-01-28T00:00:00,10,2000,1,29
0,1627748,Thon Maker,Athlete Institute Prep,1997-02-25T00:00:00,5,2016,1,10
0,1630177,Theo Maledon,Asvel,2001-06-12T00:00:00,2,2020,2,34
0,1630572,Sandro Mamukelashvili,Seton Hall,1999-05-23T00:00:00,1,2021,2,54
0,1630211,Karim Mane,Vanier,2000-05-16T00:00:00,1,Undrafted,Undrafted,Undrafted
0,1629611,Terance Mann,Florida State,1996-10-18T00:00:00,3,2019,2,48
0,1630544,Tre Mann,Florida,2001-02-03T00:00:00,1,2021,1,18
0,203906,Devyn Marble,Iowa,1992-09-21T00:00:00,3,2014,2,56
0,203088,Kendall Marshall,North Carolina,1991-08-19T00:00:00,5,2012,1,13
0,1630230,Naji Marshall,Xavier,1998-01-24T00:00:00,2,Undrafted,Undrafted,Undrafted
0,101185,Rawle Marshall,Oakland,1982-02-20T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1628997,Caleb Martin,Nevada-Reno,1995-09-28T00:00:00,3,Undrafted,Undrafted,Undrafted
0,201858,Cartier Martin,Kansas State,1984-11-20T00:00:00,8,Undrafted,Undrafted,Undrafted
0,1628998,Cody Martin,Nevada-Reno,1995-09-28T00:00:00,3,2019,2,36
0,1626185,Jarell Martin,Louisiana State,1994-05-24T00:00:00,5,2015,1,25
0,1628412,Frank Mason III,Kansas,1994-04-03T00:00:00,5,2017,2,34
0,1628999,Yante Maten,Georgia,1996-08-14T00:00:00,2,2018,,
0,101131,Jason Maxiell,Cincinnati,1983-02-18T00:00:00,10,2005,1,26
0,101118,Sean May,North Carolina,1984-04-04T00:00:00,5,2005,1,13
0,201953,Eric Maynor,Va Commonwealth,1987-06-11T00:00:00,5,2009,1,20
0,201564,O.J. Mayo,Southern California,1987-11-05T00:00:00,9,2008,1,3
0,1630219,Skylar Mays,Louisiana State,1997-09-05T00:00:00,2,2020,2,50
0,201601,Luc Mbah a Moute,UCLA,1986-09-09T00:00:00,13,2008,2,37
0,1630540,Miles McBride,West Virginia,2000-09-08T00:00:00,1,2021,2,36
0,203492,Ray McCallum,Detroit,1991-06-12T00:00:00,4,2013,2,36
0,101119,Rashad McCants,North Carolina,1984-09-25T00:00:00,5,2005,1,14
0,1627775,Patrick McCaw,UNLV,1995-10-25T00:00:00,5,2016,2,38
0,2082,Dan McClintock,Northern Arizona,1977-04-19T00:00:00,1,2000,2,53
0,203468,CJ McCollum,Lehigh,1991-09-19T00:00:00,9,2013,1,10
0,200840,Chris McCray,Maryland,1984-05-27T00:00:00,1,Undrafted,Undrafted,Undrafted
0,1626191,Chris McCullough,Syracuse,1995-02-05T00:00:00,4,2015,1,29
0,1629667,Jalen McDaniels,San Diego State,1998-01-31T00:00:00,3,2019,2,52
0,203926,Doug McDermott,Creighton,1992-01-03T00:00:00,8,2014,1,11
0,200829,Ivan McFarlin,Oklahoma State,1982-04-26T00:00:00,1,Undrafted,Undrafted,Undrafted
0,201580,JaVale McGee,Nevada-Reno,1988-01-19T00:00:00,14,2008,1,18
0,201187,Dominic McGuire,Fresno State,1985-10-20T00:00:00,7,2007,2,47
0,203463,Ben McLemore,Kansas,1993-02-11T00:00:00,9,2013,1,7
0,202077,Jerel McNeal,Marquette,1987-06-01T00:00:00,3,Undrafted,Undrafted,Undrafted
0,203895,Jordan McRae,Tennessee,1991-03-28T00:00:00,5,2014,2,58
0,201177,Josh McRoberts,Duke,1987-02-28T00:00:00,11,2007,2,37
0,201975,Jodie Meeks,Kentucky,1987-08-21T00:00:00,11,2009,2,41
0,203097,Fab Melo,Syracuse,1990-06-20T00:00:00,2,2012,1,22
0,200822,Pops Mensah-Bonsu,George Washington,1983-09-07T00:00:00,4,Undrafted,Undrafted,Undrafted
0,1629002,Chimezie Metu,Southern California,1997-03-22T00:00:00,4,2018,2,49
0,1626175,Jordan Mickey,Louisiana State,1994-07-09T00:00:00,4,2015,2,33
0,203114,Khris Middleton,Texas A&M,1991-08-12T00:00:00,10,2012,2,39
0,101223,Aaron Miles,Kansas,1983-04-13T00:00:00,2,Undrafted,Undrafted,Undrafted
0,2545,Darko Milicic,Hemoform,1985-06-20T00:00:00,10,2003,1,2
0,203121,Darius Miller,Kentucky,1990-03-21T00:00:00,6,2012,2,46
0,203113,Quincy Miller,Baylor,1992-11-18T00:00:00,4,2012,2,38
0,201988,Patty Mills,St.Mary's College of California,1988-08-11T00:00:00,13,2009,2,55
0,200794,Paul Millsap,Louisiana Tech,1985-02-10T00:00:00,16,2006,2,47
0,1629003,Shake Milton,Southern Methodist,1996-09-26T00:00:00,4,2018,2,54
0,1630558,Davion Mitchell,Baylor,1998-09-05T00:00:00,1,2021,1,9
0,1628378,Donovan Mitchell,Louisville,1996-09-07T00:00:00,5,2017,1,13
0,203183,Tony Mitchell,Alabama,1989-08-07T00:00:00,2,Undrafted,Undrafted,Undrafted
0,203502,Tony Mitchell,North Texas,1992-04-07T00:00:00,3,2013,2,37
0,1630596,Evan Mobley,Southern California,2001-06-18T00:00:00,1,2021,1,3
0,202328,Greg Monroe,Georgetown,1990-06-04T00:00:00,10,2010,1,7
0,1630541,Moses Moody,Arkansas,2002-05-31T00:00:00,1,2021,1,14
0,200081,Jamario Moon,Meridian CC,1980-06-13T00:00:00,6,Undrafted,Undrafted,Undrafted
0,202734,E'Twaun Moore,Purdue,1989-02-25T00:00:00,11,2011,2,55
0,1629630,Ja Morant,Murray State,1999-08-10T00:00:00,3,2019,1,2
0,202721,Darius Morris,Michigan,1991-01-03T00:00:00,5,2011,2,41
0,202693,Markieff Morris,Kansas,1989-09-02T00:00:00,11,2011,1,13
0,1628420,Monte Morris,Iowa State,1995-06-27T00:00:00,5,2017,2,51
0,200747,Adam Morrison,Gonzaga,1984-07-19T00:00:00,4,2006,1,3
0,1628405,Johnathan Motley,Baylor,1995-05-04T00:00:00,4,Undrafted,Undrafted,Undrafted
0,203102,Arnett Moultrie,Mississippi State,1990-11-18T00:00:00,2,2012,1,27
0,203498,Shabazz Muhammad,UCLA,1992-11-13T00:00:00,6,2013,1,14
0,201957,Byron Mullens,Ohio State,1989-02-14T00:00:00,5,2009,1,24
0,203513,Erik Murphy,Florida,1990-10-26T00:00:00,1,2013,2,49
0,203122,Kevin Murphy,Tennessee Tech,1990-03-06T00:00:00,2,2012,2,47
0,2211,Troy Murphy,Notre Dame,1980-05-02T00:00:00,12,2001,1,14
0,1630530,Trey Murphy III,Virginia,2000-06-18T00:00:00,1,2021,1,17
